abonere abonnere
kilo kg or kilogram
kirug kirurg
kiruger kirurger
kirugi kirurgi
kirugien kirurgien
kirugisk kirurgisk
kirugiske kirurgiske
klokkeslet klokkeslæt
kokelev kokkeelev
koleratur koloratur
kollegaer kolleger
kollegie kollegium
kollonade kolonnade
kollosal kolossal
kollosale kolossale
kollosalt kolossalt
kommite komite
kommite komité
komnikasjonssatlit kommunikationssatellit
kompendie kompendium
kompetance kompetence
konspitorisk konspiratorisk
konstantere konstatere
konstanterede konstaterede
konstanterer konstaterer
konstantering konstatering
konstatinopel konstantinopel
kontoer konti
korint korinth
korinterbrev korintherbrev
kraft kræft
kriterie kriterium
kromosomantal kromosomtal
kromosomantallet kromosomtallet
kræft kraft
kvadratkilometre kvadratkilometer
købmandsskab købmandskab
laboratorie laboratorium
labratorie laboratorium
landsgreve landgreve
landsgreven landgreven
lation latin
laubærblade laurbærblade
leguster liguster
ligge lægge
ligså lige så
linial lineal
linie linje
linien linjen
linier linjer
liniere linjere
liniering linjering
linierne linjerne
liniær lineær
liniære lineære
liniært lineært
linkse linke
linkser links
livsline livline
loden lodden
lodent loddent
luftstyrke luftvåben or flyvevåben
lydeløs lydefri or lydløs
lægge ligge
læreranstalt læreanstalt
læreranstalten læreanstalten
læreranstalter læreanstalter
lærne lærerne or læren
mandhjerte mandshjerte
manierede maniererede
manieret maniereret
matematikerer matematikere
max maks
medlemsskab medlemskab
melanchton melanchthon
menstrutation menstruation
messehaglet messehagelen
meteologi meteorologi
ministerie ministerium
moderen moren
molekylarvægt molekylvægt
molekylarvægten molekylvægten
mosegårdskov moesgård skov
muhammad muhammed
muhammedansk muslimsk
muhammedanske muslimske
museumet museet
museumets museets
mysterie mysterium
mythologi mytologi
mådeholdenhed mådehold
navnligt navnlig
nedstirre nidstirre
neksø nexø
nemligt nemlig
nobelprismodtager nobelpristager
novelist romanforfatter
observatorie observatorium
ombord om bord
omstændig omstændelig
onitologer ornitologer
orknøerne orkneyøerne
osse også
overbevidst overbevist
overbevidste overbeviste
overvinte overvintre
padua padova
paradigma paradigme
paradigmaer paradigmer
paradigmaet paradigmet
parafin paraffin
parantes parentes
paranteser parenteser
parantetisk parentetisk
pencillin penicillin
pengvinen pingvinen
pensylvania pennsylvania
periferisk perifer or perifert
periferiske perifere
philippinerne filippinerne
planktonnet planktonet
points point
poland polen
pommeren pommern
postbudde postbude
postbuddene postbudene
postbudet postbuddet
prefiks præfiks
prefikser præfikser
prefikset præfikset
prefix præfiks
prefixer præfikser
prefixet præfikset
premiereminister premierminister
premiereministre premierministre
pressemeddelse pressemeddelelse  
privilegie privilegium
priviligeret privilegeret
problemmer problemer
proffessor professor
progrom pogrom or program
progromer pogromer
prositueret prostitueret
protokolen protokollen
protokoler protokoller
psykiatriker psykiater
publikumet publikummet
pytagoras pythagoras
påbudene påbuddene
påbudet påbuddet
påny på ny
rarietet raritet
rarieteter rariteter
rarieteterne rariteterne
reflektion refleksion
religionsudøvelse religionsøvelse
risikoer risici
risikøer risici
roguefort roquefort
russik russisk
rutsche rutsje
ryggrad rygrad
ræsonere ræsonnere
sachen sachsen
sanskrift sanskrit
satelit satellit
satelitter satellitter
sattelit satellit
schuft sjuft
schweitz schweiz or svejts
scotland skotland
seminarie seminarium
sendebudene sendebuddene
sendebudenes sendebuddenes
sendebudet sendebuddet
sendebudets sendebuddets
seperabel separabel
serumsinstitut seruminstitut
shampo shampoo
silicone silikone
skagerak skagerrak
skredene skreddene
skredenes skreddenes
skredet skreddet
skredets skreddets
skudene skuddene
skudenes skuddenes
skudet skuddet
skudets skuddets
skuespilsforfatter skuespilforfatter or dramatiker
skulptør billedhugger
snedækt snedækket
snedækte snedækkede
solarie solarium
sommers sommer
sovjettisk sovjetisk
sportig sporty
sportige sporty
sportigt sporty
spydene spyddene
spydenes spyddenes
spydet spyddet
spydets spyddets
staniol stanniol
statusen statussen
statusens statussens
statuser statusser
statuserne statusserne
statusernes statussernes
statusers statussers
sterefoni stereofoni
stipendie stipendium
storbritanien storbritannien
strukket strakt
strukturede strukturerede
strøes strøs
studie læreanstalt or studium
svingeninger svingninger
synes syntes
syntax syntaks
syntes synes
sysselssætte sysselsætte
sæsonnen sæsonen
taleban taliban
teleskop teleskop or kikkert
teleskoper teleskoper or kikkerter
teleskopet teleskopet or kikkerten
temmeligt temmelig
termometmager termometermager
territorie territorium
territotale territoriale
the te
thermisk termisk
thermiske termiske
tilbudene tilbuddene
tilbudet tilbuddet
tilflugssted tilflugtssted
tillbragte tilbragte
tilskuerepladsen tilskuerpladsen
tilskuerepladser tilskuerpladser
tilstede til stede
tourmalin turmalin
tredie tredje
triologi trilogi
tronfølgerloven tronfølgeloven
tyggummi tyggegummi
typper typer
tøjleløs tøjlesløs
tøjleløse tøjlesløse
tøjleløst tøjlesløst
udbudet udbuddet
udemærket udmærket
udflod udflåd
udfra ud fra
ulinieret ulinjeret
ummiddelbart umiddelbart
ursurperede usurperede
ursurperet usurperet
uværgelig uvægerlig
vanille vanilje
vantrohed vantro
vejne vegne
verdenen verden
vermut vermouth
vigtigeste vigtigste
virkefeldt virkefelt
våbentilstand våbenstilstand
vædske væske
vædsken væsken
vædskens væskens
vædsker væsker
vædskerne væskerne
ynglings yndlings
yogurt yoghurt
zealandsk newzealandsk
ægtefælde ægtefælle
ærende ærinde
ærgelig ærgerlig
ærkebiskopsæde ærkebispesæde
ærkebiskopsædet ærkebispesædet
æstimat estimat
æstime estime
æstimere estimere
æstimering estimering
øjehøjde øjenhøjde
øjjet øjet
﻿udemærket udmærket
